"Reference","Value","Datasheet","Footprint","Qty","DNP","Package","Price"
"D1,D2,D3,D4","LED","~","LED_THT:LED_D5.0mm","4","","",""
"D5,D6","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2","","",""
"J1","Battery","~","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","1","","",""
"J2,J4","Conn_01x03_Pin","~","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","2","","",""
"J3","To motor input","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","1","","",""
"Q1,Q2","BC547","https://www.onsemi.com/pub/Collateral/BC550-D.pdf","Package_TO_SOT_THT:TO-92L_Inline_Wide","2","","",""
"R1,R2,R3,R4","110 Ohm","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","4","","",""
"R5,R6","1k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2","","",""
"R7","10k","~","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","1","","",""
"RV1,RV2,RV3,RV4","POT_1","~","Potentiometer_THT:Potentiometer_Piher_PT-6-V_Vertical","4","","",""
"S1","TL2230OAF140","","TL2230OAF140:SW_TL2230OAF140","1","","None","None"
"U1","LM324","http://www.ti.com/lit/ds/symlink/lm2902-n.pdf","Package_DIP:DIP-14_W7.62mm_Socket","1","","",""
